Country Code,Region,AG.LND.ARBL.ZS,EG.ELC.ACCS.ZS,NE.TRD.GNFS.ZS,NV.IND.MANF.ZS,NY.GDP.MINR.RT.ZS,NY.GDP.PETR.RT.ZS,NY.GNP.PCAP.KD,SE.PRM.CMPT.ZS,SH.H2O.BASW.ZS,SI.DST.10TH.10,SL.TLF.0714.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.INTM.ZS,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,TX.VAL.AGRI.ZS.UN,TX.VAL.MMTL.ZS.UN
GHA,Sub-Saharan Africa,20.6998545265961,89.5,69.7884227390592,9.83621907142742,5.165049712175,4.05501917796431,2232.15026277295,93.4155248289227,89.9220116872755,32.2,28.76078,59.766,60.164,55.265,61.841,64.16,41.6345131961419,58.3654868038581,1.11581950206246,3.79789972324939
GIN,Sub-Saharan Africa,24.4184071300667,51.1,97.7778177312748,12.7453563521224,0.0,0.0,984.612034429763,59.8791389465332,74.1924841600776,23.1,38.1,79.511,41.47,42.646,63.105,32.263,61.9286963311345,38.0713036688655,1.75797663844155,25.8241585170912
GMB,Sub-Saharan Africa,43.4782608695652,66.9,42.1706172274882,1.45425338865049,0.0,0.0,794.343639448972,84.1702033842253,87.1034800376148,30.5,23.75,56.417,45.927,45.459,49.509,43.539,35.7005896590355,64.2994103409645,1.07214597363699,7.25401728860874
GNB,Sub-Saharan Africa,14.065807254623,40.5,38.8065847890015,8.70147088293781,0.0,0.0,807.936256564459,62.643440246582,61.8077030171668,26.1,63.9161787836337,80.986,58.968,60.287,69.582,61.135,53.886795578178,46.113204421822,31.4528282859997,0.628835415498488
GTM,Latin America & Caribbean,14.501679731243,100.0,47.344196760267,13.587559280005,1.12230150760647,0.118140036355359,4613.89215968274,86.5089663572102,93.1845373918033,34.1,7.24264041647346,87.259,65.712,38.324,81.714,79.274,44.0452972725237,55.9547027274763,2.89885777119438,0.800281678243913
HND,Latin America & Caribbean,9.09822146751274,95.6,91.1101585856976,14.8666617820448,0.384580133990368,0.0010115304038689,2379.7963466136,71.9894641150556,95.7293716551666,32.3,10.50187,81.527,55.297,39.59,73.541,63.907,41.2149271895171,58.7850728104829,0.741945004815847,3.18629943072344
HTI,Latin America & Caribbean,36.4658925979681,51.3,22.2478853726107,26.2315707464341,0.0,0.0,1273.08718664313,52.6182098388672,73.3157500565915,31.2,37.8,70.918,54.84,58.337,69.743,54.814,44.9627347518998,55.0372652481002,0.233769939060084,0.0774870325804562
IDN,East Asia & Pacific,9.3962387268892,99.4,42.572647301834,18.9840269851832,1.90957956113463,0.766028339629635,4204.78544862787,99.9521715181012,89.008759557411,28.8,3.7,81.418,63.478,53.72,82.278,71.338,41.2490364612003,58.7509635387997,3.80911279744308,10.251583377106
IND,South Asia,51.752057554344,99.5,44.6492935069676,12.6085653310554,1.31522382631184,0.325610194100608,2362.66661754358,94.4876304742988,95.7247373523918,22.1,1.7,65.309,55.947,32.425,77.623,47.866,64.6211027631611,35.3788972368389,0.900284268232885,3.68720358535662
IRQ,Middle East & North Africa,11.4458802662797,100.0,70.7087434748943,4.08706182141497,0.0,42.7870984915076,5490.24390653608,63.6029281616211,98.4076938287767,24.2,6.4,74.713,30.964,10.937,72.579,33.242,30.1138505891087,69.8861494108913,0.0098179998435427,0.0003900074189428
