"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Brunei Darussalam","BRN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.58","","","81.912","84.121","81.121","83.166","81.383","80.948","80.407","81.523","",
"Bhutan","BTN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.82","63.04","","","86.314","88.348","87.012","91.116","85.225","68.964","71.591","",
"Botswana","BWA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.142","","","87.571","72.44","","","","","","","","","77.116","78.968","80.202","78.93","79.999","78.796","",
"Central African Republic","CAF","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.458","81.196","80.352","80.19","79.421","79.24","78.823","78.48","78.794","78.551","78.558","78.45","78.605","78.989","78.615","78.186","77.932","77.679","77.658","77.81","77.262","76.826","76.692","76.502","75.994","75.934","75.468","75.185","74.882","74.925","73.017","74.035","73.447","73.517","73.464","",
"Central Europe and the Baltics","CEB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.3404291290355","79.9723082450879","79.2376951465247","78.3883130005414","78.4547147310865","78.0419672818541","77.4020107581282","78.2584591819128","78.1029328602372","78.6303317882614","78.3548342280439","78.2490714556299","78.6157947712928","78.0890346055068","77.8243740719582","77.9492966814459","77.9703978521257","78.2344491062548","78.5923475256897","78.7506154338965","78.8388322008393","78.9548958984011","79.0347391244747","78.4040109287708","79.4249565300313","79.8627927716061","79.8838282182982","80.1319148014976","",
"Switzerland","CHE","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.343","80.132","79.972","79.323","80.568","83.761","84.383","83.923","83.529","83.325","84.716","83.875","83.913","83.509","83.808","83.582","83.122","83.121","83.069","81.001","81.279","81.621","81.296","80.685","80.574","80.987","81.037","81.36","81.693","81.272","80.847","79.766","80.435","80.044","",
"Channel Islands","CHI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.39","","89.711","","","87.947","","","86.186","","","83.601","84.992","85.674","86.65","86.051","84.508","85.283","84.681","84.125","83.969","84.128","80.132","82.282","84.06","85.023","84.838","",
"China","CHN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.352","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.629","","","","","","","","","","","","","","76.357","83.308","","","64.941","42.014","","76.378","","","73.752","","","",
"Cameroon","CMR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.265","","83.114","","","","","","","77.356","","","","","","","32.465","","","","",
"Congo, Dem. Rep.","COD","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.075","","","","","","","63.708","","","","67.817","","","","61.018","","","","","",
"Congo, Rep.","COG","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.913","","","","36.48","","","","","","","","","","","","","","","","",
"Colombia","COL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.728","82.869","81.565","81.368","","75.015","75.43","77.029","77.769","78.375","79.053","78.46","78.028","77.793","77.097","76.463","75.301","74.637","","75.218","80.584","81.302","81.044","",
"Comoros","COM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.564","","","","","","","","","","81.198","","","","","","","78.324","","","","",
"Cabo Verde","CPV","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.7","","","","","","74.358","","70.21","70.61","69.77","","","","","","",
"Costa Rica","CRI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.727","80.737","80.862","79.5","79.999","81.298","80.983","79.981","79.478","75.15","74.622","78.479","80.228","78.805","78.935","75.476","75.64","75.777","79.726","77.809","77.789","74.54","72.995","72.344","",
"Caribbean small states","CSS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.3569176945764","","","","","","",
"Cuba","CUB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.39","86.23","","81.782","","","","","","","","","","","","","",
"Curacao","CUW","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.81","","77.61","","","","","",
"Cayman Islands","CYM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.15","89.59","","88.11","85.95","","","","","","","","","","",
"Cyprus","CYP","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.678","88.188","88.401","88.039","88.504","86.859","85.823","86.282","86.24","85.685","85.128","84.125","83.376","83.985","83.746","84.098","83.91","81.93","81.769","81.874","82.879","82.438","82.435","82.881","83.119","82.467","",
"Czechia","CZE","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.348","70.053","74.191","73.45","72.805","69.81","72.359","72.605","71.624","68.832","67.391","68.406","66.683","67.979","69.842","71.445","75.774","75.625","75.68","76.208","76.963","76.243","75.505","76.013","76.958","77.179","77.387","",
"Germany","DEU","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.848","78.332","77.678","77.838","77.503","76.494","","76.749","76.435","75.945","75.429","75.38","74.757","74.472","74.877","74.811","72.966","73.752","73.802","74.251","74.272","74.112","74.058","73.63","74.031","74.072","73.74","74.372","72.689","72.976","72.707","72.949","72.832","",
"Djibouti","DJI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.785","","","","","","","","",
"Dominica","DMA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.286","87.15","86.499","86.397","85.166","84.563","84.094","83.438","84.005","82.789","81.997","81.424","81.558","81.318","80.79","81.413","79.786","78.607","78.048","78.681","78.468","77.591","77.057","77.205","76.799","76.902","76.832","77.196","76.925","76.819","77.127","77.806","78.622","",
"Dominican Republic","DOM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.715","82.962","83.896","84.384","83.077","82.835","82.606","80.548","81.884","79.037","81.811","81.564","83.492","82.283","79.402","84.237","84.464","84.301","83.518","84.102","80.08","81.379","81.997","81.361","83.157","",
"Algeria","DZA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.6245836720513","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.6755906192783","","","","","70.7076515669353","","70.579386300889","","","","","","67.8052874054345","68.7082303138737","67.176233150296","68.7832487597743","69.5946121484659","70.8508051853064","","",
"East Asia & Pacific","EAS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.3705262962087","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.4199925323263","76.9138221113278","76.6882711161679","","72.8157650542052","","","","","",
"Europe & Central Asia","ECS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3583979430178","","79.1515967152108","78.5004984516474","78.3216832754893","76.2470964981031","76.4019778588303","76.2875979896273","76.4052126676435","76.4916514890922","76.6096118742275","76.7535654751757","75.8694588388449","75.9033222041226","75.752624308586","74.8180126957143","75.4319963450541","78.44727146934","78.6276917731964","78.8011415500973","",
