"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Congo, Dem. Rep.","COD","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.561","72.605","72.652","72.66","72.322","72.232","72.864","73.512","73.727","73.715","73.752","73.783","73.825","73.889","73.933","73.941","73.361","72.773","72.178","71.575","70.963","70.344","69.716","69.421","69.134","68.854","68.497","68.125","67.865","67.659","66.723","66.867","67.386","67.162","67.021","66.846",
"Congo, Rep.","COG","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.74","71.575","71.411","71.219","71.06","70.954","70.846","70.919","70.948","70.761","70.21","69.723","69.695","69.568","69.301","69.035","68.781","68.603","68.598","68.471","68.382","68.573","68.859","69.199","69.487","69.71","69.84","69.871","69.839","69.743","66.626","67.083","70.198","70.18","70.117","70.102",
"Colombia","COL","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.444","80.762","81.218","81.749","82.273","82.69","82.791","82.938","82.812","82.287","82.402","82.437","81.413","81.728","80.997","80.134","79.274","78.395","78.548","80.558","80.302","80.639","80.67","79.777","79.513","79.308","78.635","78.195","77.749","76.756","76.251","77.539","75.936","76.171","75.862","75.694",
"Comoros","COM","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.809","51.812","51.993","52.325","52.573","52.735","52.817","52.802","52.674","52.366","52.006","51.759","51.589","51.356","50.853","51.424","51.988","52.548","53.107","53.668","54.23","54.793","55.358","55.922","56.484","57.61","58.698","59.649","60.505","61.382","62.074","63.328","63.902","63.774","63.633","63.882",
"Cabo Verde","CPV","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.803","83.708","82.619","81.532","80.445","79.358","78.268","77.176","76.077","74.971","73.846","72.695","71.531","70.363","69.192","68.02","66.845","65.669","64.489","63.305","66.894","66.793","66.697","66.6","66.503","66.405","66.307","66.208","62.372","64.304","59.893","60.563","64.281","63.845","63.458","63.397",
"Costa Rica","CRI","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.209","80.081","79.187","80.096","79.965","81.148","78.589","79.889","80.712","80.24","79.936","79.678","79.156","79.4","78.691","79.663","78.693","79.254","78.045","76.779","74.927","75.331","77.742","76.563","77.538","76.048","73.879","74.322","76.275","76.239","73.073","73.732","73.144","70.082","69.857","69.762",
"Caribbean small states","CSS","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.3417791754398","76.3018922946527","76.135561985797","76.2065661653381","76.7134275923923","77.1124033574969","76.6034660445474","76.6472213745437","76.4945811458447","76.3943053932537","76.307266475148","76.0301707133502","75.7429260806692","75.7739431968957","75.8679509063772","75.8623023271181","75.6623832552897","75.7076121483254","75.2046121588012","75.0037095575314","74.3274279797806","73.8301981909634","73.6803839135823","73.6838575615717","73.4274299577342","73.2178082868788","72.4431645675588","72.0841135425916","71.8508397945581","70.6930736509375","66.2642592549452","67.0817519440403","68.3044179846262","68.6534895194124","68.3313638899731","68.2679894516833",
"Cuba","CUB","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.883","68.846","69.817","70.883","71.217","71.419","71.429","71.554","71.671","71.507","71.258","70.993","70.696","70.287","69.784","69.086","68.37","67.844","67.471","68.783","68.031","67.814","67.59","67.41","67.318","67.121","67.02","66.818","66.511","66.231","63.189","63.552","65.908","65.688","65.418","65.074",
"Curacao","CUW","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.519","77.535","76.427","76.015","75.593","75.067","74.422","73.668","72.837","71.982","71.163","71.729","71.131","72.235","72.734","72.93","72.159","71.797","71.112","70.595","70.436","70.04","70.767","70.609","70.249","69.161","69.181","69.774","71.076","72.073","72.362","73.367","73.985","73.359","72.933","72.672",
