"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Chile","CHL","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.14","","62.237","","","64.572","","","64.168","","","62.163","67.804","68.978","68.136","68.429","68.408","68.051","68.293","68.508","67.95","67.249","60.066","61.437","64.419","65.76","66.495","",
"China","CHN","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.819","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.717","","","","","","","","","","","","","","44.452","64.297","","","55.501","45.578","","60.574","","","66.472","","","",
"Cameroon","CMR","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.981","","69.788","","","","","","","56.676","","","","","","","24.966","","","","",
"Congo, Dem. Rep.","COD","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.652","","","","","","","58.112","","","","58.517","","","","53.112","","","","","",
"Congo, Rep.","COG","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.964","","","","45.273","","","","","","","","","","","","","","","","",
"Colombia","COL","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.528","74.897","72.957","74.632","","67.859","68.534","71.393","72.374","72.923","72.962","72.237","71.915","72.755","71.953","71.212","70.609","69.91","","69.721","67.985","68.3","68.184","",
"Comoros","COM","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.184","","","","","","","","","","50.354","","","","","","","46.556","","","","",
"Cabo Verde","CPV","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.506","","","","","","60.182","","57.35","58.94","58.17","","","","","","",
"Costa Rica","CRI","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.297","65.923","66.652","66.517","67.451","65.835","67.768","62.927","61.087","65.8","66.969","70.104","68.756","70.008","66.22","64.727","64.22","66.807","69.754","65.82","68.777","69.045","61.81","63.463","",
